Gene/IDBase,UniProt ID
ADA,P00813
AICDA,Q9GZX7
AIRE,O43918
AK2,Q8TCY3
AP3B1,O00203
BIRC4,P98170
BLM,P54132
BLNK,O75498
BTK,Q06187
C1QB,P02746
C1QC,P02747
C8B,P07358
CARD9,Q9H257
CASP10,Q92851
CASP8,Q14790
CD19,P15391
CD247,P20963
CD3D,P04234
CD3E,P07766
CD3G,P09693
CD40,P25942
CD40L,P29965
CD55,P08174
CD59,P13987
CD79A,P11912
CD79B,P40259
CD8A,P01732
CEBPE,Q15744
CFD,P00746
CFH,P08603
CFI,P05156
CFP,P27918
CIITA,P33076
CTSC,P53634
CXCR4,P30991
CYBA,P13498
DCLRE1C,Q96SD1
DKC1,O60832
DNMT3B,Q9UBC3
ELA2,P08246
FASLG,P48023
FCGR1A,P12314
FCGR3A,P08637
FERMT3,Q86UX7
FOXN1,O15353
FOXP3,Q9BZS1
G6PC3,Q9BUM1
GFI1,Q99684
HAX1,O00165
ICOS,Q9Y6W8
IFNGR1,P15260
IFNGR2,P38484
IGHG2,Q6N093
IGHM,P01871
IGLL1,P15814
IKBKG,Q9Y6K9
IL12B,P29460
IL12RB1,P42701
IL2RA,P01589
IL7R,P16871
IRAK4,Q8TDF7
ITGB2,P05107
JAK3,P52333
LIG1,P18858
LIG4,P49917
LRRC8A,Q8IWT6
LYST,Q99698
MAPBPIP,Q9Y2Q5
MASP2,O00187
MLPH,Q9BV36
MPO,P05164
MRE11A,P49959
MYO5A,Q9Y4I1
NCF2,P19878
NFKBIA,P25963
NHEJ1,Q9H9Q4
NP,P00491
NRAS,P01111
ORAI1,Q96D31
PIK3R1,P20936
PRF1,P14222
PRKDC,Q9UME3
PTPN11,Q06124
PTPRC,P08575
RAB27A,P51159
RAC2,P15153
RAD50,Q92878
RAG1,P15918
RAG2,P55895
RASA1,P20936
RASGRP2,Q9UL65
RFX5,P48382
RFXANK,O14593
RFXAP,O00287
RNF168,Q8IYW5
SBDS,Q9Y3A5
SERPING1,P05155
SH2D1A,O60880
SLC35C1,Q96A29
SMARCAL1,Q9NZC9
SPINK5,Q9NQ38
STAT1,P42224
STAT2,P52630
STAT3,P40763
STAT5B,P51692
STIM1,Q13586
STX11,O75558
STXBP2,Q15833
TAP1,Q03518
TAP2,Q03519
TAPBP,O15533
TAZ,Q16635
TCN2,P20062
TLR3,O15455
TMC6,Q8IU98
TMC8,Q8IU68
TNFRSF13B,O14836
TYK2,P29597
UNC13D,Q70J99
UNC93B1,Q9H1C4
UNG,P13051
WAS,P42768
ZAP70,P43403
