gene	track	total	ok	pct_ok	ESEQUENCEMISMATCH	EINTRONIC	ENOSELECTORFOUND	ESYNTAXUEOF	OTHER	rescuable	non_rescuable
AIRE	NG_IDRefseq	268	268	100.0	0	0	0	0	0	0	0
AK2	NG_IDRefseq	9	9	100.0	0	0	0	0	0	0	0
AK2	NM_IDRefseq	18	0	0.0	0	0	18	0	0	18	0
AK2	NM_MANE	18	18	100.0	0	0	0	0	0	0	0
AP3B1	NG_IDRefseq	8	8	100.0	0	0	0	0	0	0	0
AP3B1	NM_IDRefseq	12	12	100.0	0	0	0	0	0	0	0
AP3B1	NM_MANE	12	12	100.0	0	0	0	0	0	0	0
BIRC4	NG_IDRefseq	14	14	100.0	0	0	0	0	0	0	0
BIRC4	NM_IDRefseq	14	14	100.0	0	0	0	0	0	0	0
BIRC4	NM_MANE	14	14	100.0	0	0	0	0	0	0	0
BLM	NG_IDRefseq	123	123	100.0	0	0	0	0	0	0	0
BLM	NM_IDRefseq	207	0	0.0	0	0	207	0	0	207	0
BLM	NM_MANE	207	207	100.0	0	0	0	0	0	0	0
C1QA	NG_IDRefseq	9	9	100.0	0	0	0	0	0	0	0
C1QA	NM_IDRefseq	17	0	0.0	0	0	17	0	0	17	0
C1QA	NM_MANE	17	5	29.4	12	0	0	0	0	12	0
C1QB	NG_IDRefseq	5	5	100.0	0	0	0	0	0	0	0
C1QB	NM_IDRefseq	10	0	0.0	0	0	10	0	0	10	0
C1QB	NM_MANE	10	0	0.0	10	0	0	0	0	10	0
C1QC	NG_IDRefseq	5	5	100.0	0	0	0	0	0	0	0
C1QC	NM_IDRefseq	10	0	0.0	0	0	10	0	0	10	0
C1QC	NM_MANE	10	10	100.0	0	0	0	0	0	0	0
C1S	NG_IDRefseq	7	7	100.0	0	0	0	0	0	0	0
C1S	NM_IDRefseq	11	0	0.0	0	0	11	0	0	11	0
C1S	NM_MANE	11	8	72.7	3	0	0	0	0	3	0
C2	NG_IDRefseq	3	3	100.0	0	0	0	0	0	0	0
C2	NM_IDRefseq	3	0	0.0	0	0	3	0	0	3	0
C2	NM_MANE	3	2	66.7	1	0	0	0	0	1	0
C3	NG_IDRefseq	10	7	70.0	3	0	0	0	0	3	0
C3	NM_IDRefseq	18	0	0.0	0	0	18	0	0	18	0
C3	NM_MANE	18	18	100.0	0	0	0	0	0	0	0
C5	NG_IDRefseq	8	8	100.0	0	0	0	0	0	0	0
C5	NM_IDRefseq	11	7	63.6	4	0	0	0	0	4	0
