stage	count
unresolved_in	698
resolved_by_MANE_remap	401
resolved_by_VariantValidator	11
resolved_by_VV_mismatch_probe	0
resolved_by_offset_fix	0
total_rescued	412
remaining_genuine_errors	286
	
remaining_by_category	count
ENOSELECTORFOUND/nm_not_in_ng	111
ESEQUENCEMISMATCH/single_base_wrong	106
ESEQUENCEMISMATCH/single_base_complement	41
ESEQUENCEMISMATCH/completely_different	19
ESEQUENCEMISMATCH/multibase_rc_match	2
ESEQUENCEMISMATCH/length_mismatch	2
EINTRONIC/intronic_c_notation	1
ESEQUENCEMISMATCH/positional_offset	1
EINSERTIONRANGE/non_consecutive_ins_range	1
ERANGEREVERSED/start_greater_than_end	1
ESYNTAXUEOF/missing_inserted_sequence	1
