gene	build	file	total_hits	query_id	subject_id	pct_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue
AIRE_NG_009556.1_source_3	hg16	AIRE_NG_009556.1_source_3_vs_hg16.txt	215218	AIRE	chr21	100.000	18927	0	0	1	18927	44557386	44576312	0.0
AIRE_NG_009556.1_source_3	hg17	AIRE_NG_009556.1_source_3_vs_hg17.txt	215550	AIRE	chr21	100.000	18927	0	0	1	18927	44525612	44544538	0.0
AIRE_NG_009556.1_source_3	hg18	AIRE_NG_009556.1_source_3_vs_hg18.txt	217153	AIRE	chr21	100.000	18927	0	0	1	18927	44525612	44544538	0.0
AK2_NG_016269.1_source_3	hg16	AK2_NG_016269.1_source_3_vs_hg16.txt	2868631	AK2	chr1	100.000	31907	0	0	1	31907	33005965	32974059	0.0
AK2_NG_016269.1_source_3	hg17	AK2_NG_016269.1_source_3_vs_hg17.txt	2871614	AK2	chr1	100.000	31907	0	0	1	31907	33172585	33140679	0.0
AK2_NG_016269.1_source_3	hg18	AK2_NG_016269.1_source_3_vs_hg18.txt	2893001	AK2	chr1	100.000	31907	0	0	1	31907	33276079	33244173	0.0
AP3B1_NG_007268.1_source_3	hg16	AP3B1_NG_007268.1_source_3_vs_hg16.txt	14121562	AP3B1	chr5	100.000	295346	0	0	1	295346	77675568	77380223	0.0
AP3B1_NG_007268.1_source_3	hg17	AP3B1_NG_007268.1_source_3_vs_hg17.txt	14135372	AP3B1	chr5	100.000	295346	0	0	1	295346	77627251	77331906	0.0
AP3B1_NG_007268.1_source_3	hg18	AP3B1_NG_007268.1_source_3_vs_hg18.txt	14237912	AP3B1	chr5	100.000	295346	0	0	1	295346	77627251	77331906	0.0
BIRC4_NG_007264.1_source_3	hg16	BIRC4_NG_007264.1_source_3_vs_hg16.txt	11588773	BIRC4	chrX	100.000	56775	0	0	1	56775	121690803	121747577	0.0
BIRC4_NG_007264.1_source_3	hg17	BIRC4_NG_007264.1_source_3_vs_hg17.txt	11601385	BIRC4	chrX	100.000	56775	0	0	1	56775	122718583	122775357	0.0
BIRC4_NG_007264.1_source_3	hg18	BIRC4_NG_007264.1_source_3_vs_hg18.txt	11687936	BIRC4	chrX	100.000	56775	0	0	1	56775	122820729	122877503	0.0
BLM_NG_007272.1_source_3	hg16	BLM_NG_007272.1_source_3_vs_hg16.txt	13415964	BLM	chr15	100.000	100964	0	0	1	100964	88989403	89090366	0.0
BLM_NG_007272.1_source_3	hg17	BLM_NG_007272.1_source_3_vs_hg17.txt	13429490	BLM	chr15	100.000	100964	0	0	1	100964	89060639	89161602	0.0
BLM_NG_007272.1_source_3	hg18	BLM_NG_007272.1_source_3_vs_hg18.txt	13529361	BLM	chr15	100.000	100964	0	0	1	100964	89060639	89161602	0.0
BLNK_NG_007575.1_source_3	hg16	BLNK_NG_007575.1_source_3_vs_hg16.txt	4332723	BLNK	chr10	100.000	99866	0	0	1	99866	97705907	97606042	0.0
BLNK_NG_007575.1_source_3	hg17	BLNK_NG_007575.1_source_3_vs_hg17.txt	4337277	BLNK	chr10	100.000	99866	0	0	1	99866	98031310	97931445	0.0
BLNK_NG_007575.1_source_3	hg18	BLNK_NG_007575.1_source_3_vs_hg18.txt	4368413	BLNK	chr10	100.000	99866	0	0	1	99866	98031310	97931445	0.0
C1QA_NG_007282.1_source_3	hg16	C1QA_NG_007282.1_source_3_vs_hg16.txt	949965	C1QA	chr1	100.000	9899	0	0	1	9899	22427752	22437650	0.0
C1QA_NG_007282.1_source_3	hg17	C1QA_NG_007282.1_source_3_vs_hg17.txt	950933	C1QA	chr1	100.000	9899	0	0	1	9899	22703583	22713481	0.0
C1QA_NG_007282.1_source_3	hg18	C1QA_NG_007282.1_source_3_vs_hg18.txt	957936	C1QA	chr1	100.000	9899	0	0	1	9899	22830864	22840762	0.0
C1QB_NG_007283.1_source_3	hg16	C1QB_NG_007283.1_source_3_vs_hg16.txt	294640	C1QB	chr1	100.000	15231	0	0	1	15231	22444274	22459504	0.0
C1QB_NG_007283.1_source_3	hg17	C1QB_NG_007283.1_source_3_vs_hg17.txt	295005	C1QB	chr1	100.000	15231	0	0	1	15231	22720105	22735335	0.0
C1QB_NG_007283.1_source_3	hg18	C1QB_NG_007283.1_source_3_vs_hg18.txt	297345	C1QB	chr1	100.000	15231	0	0	1	15231	22847386	22862616	0.0
