gene,ng_accession,status,strand,sstart,send,matched,total,match_pct,non_matching_accessions
ADA,NG_007385.1,below_threshold,-,4541,39650,35,87,0.4023,A0001;A0002;A0003;A0005;A0010;A0015;A0016;A0018;A0019;A0020;A0024;A0025;A0026;A0027;A0029;A0030;A0031;A0040;A0041;A0047;A0048;A0049;A0052;A0059;A0060;A0062;A0063;A0065;A0066;A0067;A0068;A0069;A0070;A0071;A0072;A0073;A0074
AICDA,NG_011588.1,below_threshold,+,3914,12893,33,44,0.75,A0009;A0027;A0028;A0039;A0045;A0083
AIRE,NG_009556.1,ok,+,422,16825,304,306,0.9935,A0093;A0094
AK2,NG_016269.1,ok,+,4001,28547,18,18,1.0,
AP3B1,NG_007268.1,ok,+,4034,158437,6,6,1.0,
BIRC4,NG_007264.1,ok,+,4001,51971,14,14,1.0,
BLM,NG_007272.1,ok,+,4034,96861,135,135,1.0,
BLNK,NG_007575.1,ok,+,7,10205,2,2,1.0,
BTK,NG_009616.1,below_threshold,+,80,71643,7,546,0.0128,A0023;A0094;A0112;A0147;A0148;A0149;A0150;A0200;A0228;A0231;A0233;A0237;A0368;A0371;A0399;A0407;A0478;A0519;A0524;A0560;A0580;A0599;A0625;A0626;A0627;A0677;A0679;A0682;A0683;A0684;A0685;A0686;A0687;A0688;A0689;A0690;A0696;A0697;A0723;A0726;A0753;A0759;A0762;A0763;A0764;A0765;A0770;A0775;A0776;A0778;A0779;A0780;A0781;A0784;A0785;A0786;A0787;A0788;A0789;A0790;A0791;A0792;A0800;A0801;A0802;A0803;A0808;A0809;A0811;A0812;A0817;A0818;A0819;A0823;A0829;A0833;A0834;A0835;A0836;A0837;A0839;A0840;A0841;A0842;A0843;A0844;A0845;A0846;A0847;A0848;A0849;A0850;A0851;A0852;A0853;A0854;A0855;A0863;A0865;A0866;A0867;A0868;A0869;A0870;A0871;A0872;A0873;A0874;A0875;A0876;A0877;A0878;A0879;A0880;A0881;A0882;A0883;A0884;A0885;A0886;A0887;A0888;A0889;A0890;A0891;A0892;A0894;A0895;A0896;A0897;A0898;A0899;A0900;A0901;A0902;A0903;A0906;A0907;A0908;A0909;A0910;A0911;A0912;A0914;A0915;A0917;A0918;A0919;A0920;A0921;A0922;A0923;A0924;A0925;A0926;A0927;A0928;A0929;A0930;A0931;A0932;A0933;A0934;A0935;A0936;A0937;A0938;A0939;A0940;A0941;A0942;A0943;A0944;A0945;A0946;A0947;A0948;A0949;A0950;A0951;A0952;A0953;A0954;A0955;A0956;A0957;A0958;A0959;A0960;A0961;A0962;A0963;A0964;A0965;A0966;A0967;A0968;A0969;A0970;A0971;A0972;A0973;A0974;A0975;A0976;A0977;A0978;A0979;A0980;A0981;A0982;A0983;A0984;A0987;A0988;A0989;A0990;A0993;A0994;A0995;A0996;A0999;A1002;A1005;A1006;A1007;A1008;A1010;A1011;A1013;A1015;A1016;A1017;A1018;A1019;A1021;A1022;A1023;A1024;A1025;A1026;A1028;A1030;A1032;A1035;A1039;A1043;A1048;A1049;A1050;A1051;A1052;A1055;A1057;A1058;A1059;A1060;A1061;A1062;A1065;A1066;A1067;A1068;A1069;A1070;A1071;A1072;A1073;A1074;A1075;A1076;A1077;A1081;A1082;A1083;A1084;A1085;A1086;A1087;A1088;A1089;A1090;A1092;A1093;A1094;A1098;A1099;A1100;A1101;A1103;A1104;A1105;A1106;A1109;A1110;A1111;A1112;A1113;A1114;A1115;A1116;A1117;A1118;A1119;A1121;A1122;A1123;A1124;A1125;A1126;A1127;A1128;A1129;A1131;A1132;A1133;A1134;A1135;A1136;A1137;A1138;A1139;A1140;A1141;A1142;A1143;A1144;A1145;A1147;A1148;A1149;A1150;A1152;A1154;A1155;A1156;A1157;A1158;A1159;A1160;A1161;A1162;A1163;A1164;A1165;A1166;A1168;A1169;A1170;A1171;A1172;A1173;A1174;A1175;A1176;A1177;A1178;A1179;A1180;A1181;A1182;A1183;A1184;A1186;A1189;A1190;A1191;A1192;A1202;A1219;A1229;A1230;A1231;A1232;A1233;A1236;A1238;A1240;A1252;A1309;A1310;A1311;A1312;A1313;A1314;A1316;A1317;A1318;A1319;A1320;A1321;A1322;A1323;A1324;A1325;A1326;A1327;A1328;A1329;A1330;A1331;A1332;A1334;A1335;A1336;A1338;A1339;A1341;A1345;A1347;A1348;A1350;A1351;A1352;A1354;A1356;A1357;A1358;A1359;A1361;A1362;A1366;A1367;A1370;A1371;A1372;A1373;A1374;A1375;A1376;A1377;A1378;A1379;A1380;A1381;A1382;A1383;A1384;A1385;A1386;A1387;A1388;A1389;A1390;A1391;A1392;A1393;A1394;A1395;A1396;A1398;A1399;A1400;A1401;A1402;A1403;A1404;A1405;A1406;A1407;A1408;A1409;A1410;A1411;A1412;A1414;A1415;A1416;A1417;A1419;A1420;A1421;A1424;A1425;A1427;A1438;A1439;A1440;A1441;A1443;A1446;A1447;A1448;A1449;A1450;A1452;A1453;A1454;A1455;A1457;A1458;A1459;A1460;A1461;A1462;A1463;A1464;A1466;A1467;A1468;A1469;A1470;A1471;A1472;A1473;A1474;A1475;A1477;A1478;A1479;A1481;A1483;A1485;A1486;A1487;A1488;A1489;A1490;A1491;A1492;A1495;A1498;A1499;A1506;A1507;A1508;A1509;A1510;A1511;A1512;A1515;A1516;A1519;A1520;A1521;A1523;A1524;A1525;A1526
C1QA,NG_007282.1,ok,+,22,2734,17,17,1.0,
