gene,accession,status,strand,n_total,n_substitution,n_deletion,n_duplication,n_indel,n_insertion,n_unknown,n_anchorable,n_unanchorable,frac_anchorable,n_matched,n_in_test,match_rate,binomial_p,wilson_ci_low,wilson_ci_high,gene_span_bp,anchor_span_bp,coverage_frac,max_gap_bp,anchors_per_kb
ADA,NG_007385.1,below_threshold,-,87,77,10,0,0,0,0,87,0,1.0,44,77,0.5714,2.016217630031455e-09,0.4778,1.0,35110,33975,0.9677,12473,2.193
AICDA,NG_011588.1,below_threshold,+,44,44,0,0,0,0,0,44,0,1.0,33,44,0.75,4.912425588644827e-12,0.6303,1.0,8980,2552,0.2842,1394,4.9
AIRE,NG_009556.1,ok,+,414,262,114,9,3,26,0,388,26,0.9372,260,260,1.0,2.913414348125081e-157,0.9897,1.0,16404,11697,0.7131,6581,15.972
AK2,NG_016269.1,ok,+,18,12,6,0,0,0,0,18,0,1.0,12,12,1.0,5.960464477539063e-08,0.816,1.0,24547,23483,0.9567,15188,0.489
AP3B1,NG_007268.1,ok,+,16,4,10,0,2,0,0,16,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,154404,40277,0.2609,25293,0.026
BIRC4,NG_007264.1,ok,+,17,8,8,1,0,0,0,17,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,47971,21196,0.4419,15816,0.167
BLM,NG_007272.1,ok,+,207,80,41,14,69,3,0,204,3,0.9855,80,80,1.0,6.842277657836021e-49,0.9673,1.0,92828,61741,0.6651,13676,0.862
BLNK,NG_007575.1,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,10199,0,0.0,0,0.196
BTK,NG_009616.1,below_threshold,+,612,435,106,45,14,12,0,600,12,0.9804,7,431,0.0162,1.0,0.0088,1.0,71564,36171,0.5054,10773,6.078
C1QA,NG_007282.1,ok,+,17,16,1,0,0,0,0,17,0,1.0,16,16,1.0,2.3283064365386963e-10,0.8554,1.0,2713,26,0.0096,26,5.898
C1QB,NG_007283.1,ok,+,10,10,0,0,0,0,0,10,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,9108,1773,0.1947,1572,1.098
C1QC,NG_007565.1,ok,+,10,8,2,0,0,0,0,10,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,4639,3148,0.6786,3127,1.725
C1S,NG_011694.1,ok,+,11,8,3,0,0,0,0,11,0,1.0,8,8,1.0,1.52587890625e-05,0.7473,1.0,10626,5179,0.4874,4957,0.753
C2,NG_011730.1,ok,+,3,1,2,0,0,0,0,3,0,1.0,1,1,1.0,0.25,0.2699,1.0,2151,0,0.0,0,0.465
C3,NG_009557.1,ok,+,22,16,2,0,0,2,2,18,2,0.8182,15,16,0.9375,1.1408701539039612e-08,0.7625,1.0,43362,34219,0.7891,14782,0.369
C5,NG_007364.1,ok,+,11,10,0,0,1,0,0,11,0,1.0,10,10,1.0,9.5367431640625e-07,0.7871,1.0,88510,87443,0.9879,60656,0.113
C6,NG_046998.1,seed_not_found,,16,3,13,0,0,0,0,16,0,1.0,0,3,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
C7,,no_fasta,,56,45,11,0,0,0,0,56,0,1.0,0,0,0.0,,,,0,0,0.0,0,0.0
C8B,NG_007285.1,ok,+,106,104,2,0,0,0,0,106,0,1.0,104,104,1.0,2.4308653429145085e-63,0.9746,1.0,26012,15924,0.6122,8634,3.998
C9,NG_009894.1,ok,+,14,14,0,0,0,0,0,14,0,1.0,14,14,1.0,3.725290298461914e-09,0.838,1.0,24202,845,0.0349,836,0.578
CARD9,NG_021197.1,ok,+,14,14,0,0,0,0,0,14,0,1.0,14,14,1.0,3.725290298461914e-09,0.838,1.0,4320,0,0.0,0,3.241
CASP10,NG_007265.1,ok,+,3,3,0,0,0,0,0,3,0,1.0,3,3,1.0,0.015625,0.5258,1.0,27207,1261,0.0463,1261,0.11
CASP8,NG_007497.1,ok,+,4,4,0,0,0,0,0,4,0,1.0,4,4,1.0,0.00390625,0.5965,1.0,19791,0,0.0,0,0.202
CD19,NG_007275.1,ok,+,9,1,6,2,0,0,0,9,0,1.0,1,1,1.0,0.25,0.2699,1.0,5196,0,0.0,0,0.192
CD247,NG_007384.1,ok,+,4,2,0,0,0,2,0,2,2,0.5,2,2,1.0,0.0625,0.425,1.0,80235,0,0.0,0,0.025
CD3D,NG_009891.1,ok,+,12,12,0,0,0,0,0,12,0,1.0,12,12,1.0,5.960464477539063e-08,0.816,1.0,3143,539,0.1715,539,3.818
CD3G,NG_007566.1,ok,+,2,2,0,0,0,0,0,2,0,1.0,2,2,1.0,0.0625,0.425,1.0,6483,0,0.0,0,0.308
CD40,NG_007279.1,seed_not_found,,6,6,0,0,0,0,0,6,0,1.0,0,6,0.0,1.0,0.0,1.0,0,0,0.0,0,0.0
CD40L,NG_007280.1,ok,+,233,173,37,2,0,21,0,212,21,0.9099,165,169,0.9763,4.78245581395349e-93,0.9483,1.0,12209,11123,0.911,4007,14.17
CD55,NG_007465.1,ok,+,18,18,0,0,0,0,0,18,0,1.0,18,18,1.0,1.4551915228366852e-11,0.8693,1.0,6250,4227,0.6763,3107,2.88
