gene,n_subs,n_tested,match_at_0,best_offset,best_match,second_match,cds_start,cds_len,orf_ok,mane_c_equals_idbases_c_plus,classification
ADA,26,25,0.346,-95,0.96,0.565,92,1092,True,-95,recoverable_offset
AICDA,11,6,0.818,191,0.833,0.818,92,597,True,191,near_aligned
AIRE,28,15,0.667,-616,0.733,0.731,131,1638,True,-616,isoform_or_mismatch
AK2,4,4,1.0,84,1.0,1.0,55,720,True,84,aligned
AP3B1,3,3,1.0,1211,1.0,1.0,119,3285,True,1211,aligned
BIRC4,8,8,1.0,0,1.0,1.0,273,1494,True,0,aligned
BLM,23,23,1.0,0,1.0,0.625,99,4254,True,0,aligned
BTK,203,200,0.845,0,0.845,0.393,160,1980,True,0,near_aligned
C1QA,4,4,0.75,89,1.0,1.0,82,738,True,89,inconclusive_low_n
C1QB,3,3,1.0,27,1.0,1.0,85,762,True,27,aligned
C1QC,3,3,1.0,512,1.0,1.0,95,738,True,512,aligned
C1S,4,4,0.75,-23,1.0,1.0,234,2067,True,-23,inconclusive_low_n
C2,2,,,,,,,,,,inconclusive_low_n
C3,7,7,1.0,0,1.0,0.857,61,4992,True,0,aligned
C5,5,5,0.6,413,1.0,1.0,29,5031,True,413,inconclusive_low_n
C7,9,9,1.0,0,1.0,0.833,114,2532,True,0,aligned
C8B,2,,,,,,,,,,inconclusive_low_n
C9,3,3,0.667,249,1.0,1.0,31,1680,True,249,inconclusive_low_n
CARD9,1,,,,,,,,,,inconclusive_low_n
CASP10,2,,,,,,,,,,inconclusive_low_n
CASP8,1,,,,,,,,,,inconclusive_low_n
CD247,1,,,,,,,,,,inconclusive_low_n
CD3D,1,,,,,,,,,,inconclusive_low_n
CD3G,1,,,,,,,,,,inconclusive_low_n
CD40,2,,,,,,,,,,inconclusive_low_n
CD40L,78,77,0.581,-56,0.61,0.581,91,786,True,-56,isoform_or_mismatch
CD55,4,4,1.0,331,1.0,1.0,88,1146,True,331,aligned
CD79B,1,,,,,,,,,,inconclusive_low_n
CD8A,2,,,,,,,,,,inconclusive_low_n
CEBPE,1,,,,,,,,,,inconclusive_low_n
CFD,3,3,1.0,45,1.0,1.0,26,762,True,45,aligned
