gene,nm_accession,status,sstart,send,matched,total,match_pct,non_matching_accessions
ADA,NM_000022.4,below_threshold,163,1496,39,64,0.6094,A0010;A0012;A0014;A0015;A0016;A0017;A0024;A0029;A0030;A0037;A0040;A0043;A0049;A0058;A0064;A0066;A0067;A0074
AICDA,NM_020661.4,below_threshold,93,2803,32,38,0.8421,A0004;A0027;A0028
AIRE,NM_000383.4,below_threshold,481,2690,194,229,0.8472,A0095;A0096;A0097;A0098;A0101;A0134;A0135;A0136;A0137;A0138;A0139;A0148;A0151;A0152;A0153;A0156;A0164;A0178;A0197;A0201;A0211;A0232;A0233;A0247;A0249;A0250;A0253;A0274
AK2,NM_001625.4,ok,253,5970,11,11,1.0,
AP3B1,NM_003664.5,ok,40,3980,3,3,1.0,
BIRC4,NM_001167.4,ok,274,8558,8,8,1.0,
BLM,NM_000057.4,ok,100,5240,68,72,0.9444,B0106;B0112;B0131;B0141
BTK,NM_000061.3,below_threshold,29,2575,160,413,0.3874,A0679;A0682;A0683;A0686;A0688;A0690;A0917;A0920;A0923;A0925;A0926;A0927;A0928;A0929;A0930;A0931;A0932;A0933;A0934;A0935;A0936;A0938;A0941;A0943;A0945;A0948;A0950;A0951;A0952;A0953;A0954;A0955;A0956;A0957;A0958;A0959;A0960;A0962;A0963;A0965;A0966;A0967;A0969;A0970;A0971;A0972;A0973;A0975;A0976;A0977;A0980;A0982;A0987;A0988;A0989;A0990;A0993;A0994;A0995;A0996;A1008;A1010;A1011;A1013;A1015;A1016;A1017;A1018;A1019;A1021;A1022;A1023;A1024;A1025;A1059;A1061;A1062;A1067;A1069;A1071;A1072;A1073;A1074;A1075;A1076;A1077;A1081;A1082;A1085;A1088;A1089;A1090;A1094;A1098;A1100;A1101;A1104;A1105;A1106;A1111;A1112;A1113;A1115;A1117;A1122;A1123;A1124;A1125;A1126;A1127;A1128;A1129;A1131;A1132;A1134;A1136;A1139;A1140;A1141;A1142;A1143;A1144;A1145;A1147;A1149;A1150;A1152;A1158;A1160;A1162;A1165;A1166;A1168;A1170;A1171;A1172;A1173;A1175;A1176;A1181;A1182;A1184;A1191;A1192;A1202;A1231;A1232;A1238;A1240;A1309;A1310;A1312;A1313;A1314;A1316;A1317;A1318;A1322;A1323;A1324;A1325;A1327;A1328;A1329;A1330;A1331;A1332;A1335;A1336;A1338;A1339;A1341;A1347;A1348;A1350;A1351;A1352;A1361;A1362;A1366;A1367;A1370;A1372;A1373;A1377;A1378;A1381;A1382;A1383;A1391;A1392;A1393;A1396;A1398;A1400;A1402;A1403;A1404;A1405;A1406;A1407;A1408;A1410;A1411;A1412;A1414;A1415;A1419;A1425;A1428;A1438;A1439;A1440;A1441;A1446;A1449;A1453;A1454;A1457;A1460;A1461;A1462;A1463;A1464;A1466;A1467;A1469;A1470;A1472;A1475;A1477;A1478;A1479;A1481;A1487;A1488;A1490;A1491;A1492;A1495;A1506;A1507;A1508;A1509;A1510;A1511;A1512;A1516;A1520;A1521;A1523;A1524;A1525
C1QA,NM_015991.4,ok,4,1091,16,16,1.0,
C1QB,NM_001378156.1,ok,20,1098,10,10,1.0,
C1QC,NM_172369.5,ok,6,1158,8,8,1.0,
C1S,NM_001734.5,ok,1,2682,8,8,1.0,
C2,NM_000063.6,ok,1,2610,1,1,1.0,
C3,NM_000064.4,ok,62,5231,12,12,1.0,
C5,NM_001735.3,ok,443,5464,10,10,1.0,
C7,NM_000587.4,ok,115,5716,35,38,0.9211,C0028;C0035
C8B,NM_000066.4,ok,28,2040,103,103,1.0,
C9,NM_001737.5,ok,28,2770,14,14,1.0,
CARD9,NM_052813.5,ok,1,2111,14,14,1.0,
CASP10,NM_032977.4,ok,15,5668,3,3,1.0,
CASP8,NM_001372051.1,ok,2,2659,4,4,1.0,
CD19,NM_001770.6,ok,6,1918,1,1,1.0,
CD247,NM_198053.3,ok,1,1600,2,2,1.0,
CD3D,NM_000732.6,ok,8,701,12,12,1.0,
CD3G,NM_000073.3,ok,2,2690,2,2,1.0,
CD40,NM_001250.6,ok,52,1682,6,6,1.0,
