gene	build	file	total_hits	query_id	subject_id	pct_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue
AF022778_MRE11A	hg16	AF022778_MRE11A_vs_hg16.txt	23	AF022778.1	chr3	93.813	889	46	6	65	947	157153006	157152121	0.0
AF022778_MRE11A	hg17	AF022778_MRE11A_vs_hg17.txt	23	AF022778.1	chr3	93.813	889	46	6	65	947	157314795	157313910	0.0
AF022778_MRE11A	hg18	AF022778_MRE11A_vs_hg18.txt	23	AF022778.1	chr3	93.813	889	46	6	65	947	157314787	157313902	0.0
AF057299_RAD50	hg16	AF057299_RAD50_vs_hg16.txt	25	AF057299.1	chr5	99.335	451	2	1	1	450	131968911	131969361	0.0
AF057299_RAD50	hg17	AF057299_RAD50_vs_hg17.txt	25	AF057299.1	chr5	99.335	451	2	1	1	450	131920594	131921044	0.0
AF057299_RAD50	hg18	AF057299_RAD50_vs_hg18.txt	25	AF057299.1	chr5	99.335	451	2	1	1	450	131920594	131921044	0.0
AF073362_MRE11A	hg16	AF073362_MRE11A_vs_hg16.txt	21	AF073362.1	chr3	93.359	783	43	6	1	777	157152900	157152121	0.0
AF073362_MRE11A	hg17	AF073362_MRE11A_vs_hg17.txt	21	AF073362.1	chr3	93.359	783	43	6	1	777	157314689	157313910	0.0
AF073362_MRE11A	hg18	AF073362_MRE11A_vs_hg18.txt	21	AF073362.1	chr3	93.359	783	43	6	1	777	157314681	157313902	0.0
AF082179_SMARCAL1	hg16	AF082179_SMARCAL1_vs_hg16.txt	16	AF082179.1	chr2	99.770	870	2	0	42	911	217481911	217482780	0.0
AF082179_SMARCAL1	hg17	AF082179_SMARCAL1_vs_hg17.txt	16	AF082179.1	chr2	99.770	870	2	0	42	911	217104875	217105744	0.0
AF082179_SMARCAL1	hg18	AF082179_SMARCAL1_vs_hg18.txt	16	AF082179.1	chr2	99.770	870	2	0	42	911	216987614	216988483	0.0
AF087892_C1QC	hg16	AF087892_C1QC_vs_hg16.txt	3	AF087892.1	chr1	99.210	886	5	1	279	1162	22443191	22444076	0.0
AF087892_C1QC	hg17	AF087892_C1QC_vs_hg17.txt	3	AF087892.1	chr1	99.210	886	5	1	279	1162	22719022	22719907	0.0
AF087892_C1QC	hg18	AF087892_C1QC_vs_hg18.txt	3	AF087892.1	chr1	99.210	886	5	1	279	1162	22846303	22847188	0.0
AF156488_DNMT3B	hg16	AF156488_DNMT3B_vs_hg16.txt	24	AF156488.1	chr20	99.812	1597	2	1	2533	4128	32111242	32112838	0.0
AF156488_DNMT3B	hg17	AF156488_DNMT3B_vs_hg17.txt	24	AF156488.1	chr20	99.812	1597	2	1	2533	4128	30859227	30860823	0.0
AF156488_DNMT3B	hg18	AF156488_DNMT3B_vs_hg18.txt	24	AF156488.1	chr20	99.812	1597	2	1	2533	4128	30859227	30860823	0.0
AF331857_DNMT3B	hg16	AF331857_DNMT3B_vs_hg16.txt	25	AF331857.1	chr20	100.000	1596	0	0	2740	4335	32111242	32112837	0.0
AF331857_DNMT3B	hg17	AF331857_DNMT3B_vs_hg17.txt	25	AF331857.1	chr20	100.000	1596	0	0	2740	4335	30859227	30860822	0.0
AF331857_DNMT3B	hg18	AF331857_DNMT3B_vs_hg18.txt	25	AF331857.1	chr20	100.000	1596	0	0	2740	4335	30859227	30860822	0.0
AF380342_CASP8	hg16	AF380342_CASP8_vs_hg16.txt	9	AF380342.1	chr2	98.844	519	6	0	1007	1525	202352065	202352583	0.0
AF380342_CASP8	hg17	AF380342_CASP8_vs_hg17.txt	9	AF380342.1	chr2	98.844	519	6	0	1007	1525	201975028	201975546	0.0
