gene,ng_accession,status,strand,sstart,send,matched,total,match_pct,non_matching_accessions
ADA,,no_fasta,,,,,,,
AICDA,,no_fasta,,,,,,,
AIRE,NG_009556.1,ok,+,1,16404,304,306,0.9935,A0093;A0094
AK2,NG_016269.1,ok,+,1,24547,18,18,1.0,
AP3B1,NG_007268.1,ok,+,1,154404,6,6,1.0,
BIRC4,NG_007264.1,ok,+,1,47971,14,14,1.0,
BLM,NG_007272.1,ok,+,1,92828,135,135,1.0,
BLNK,NG_007575.1,ok,+,1,10199,2,2,1.0,
BTK,,no_fasta,,,,,,,
C1QA,NG_007282.1,ok,+,1,2713,17,17,1.0,
C1QB,NG_007283.1,ok,+,1,9108,10,10,1.0,
C1QC,NG_007565.1,ok,+,1,4639,10,10,1.0,
C1S,NG_011694.1,ok,+,1,10626,11,11,1.0,
C2,NG_011730.1,ok,+,1,2151,1,1,1.0,
C3,,ok,+,1,43362,16,16,1.0,
C5,NG_007364.1,ok,+,1,88510,10,10,1.0,
C6,NG_011582.1,ok,+,1,71714,16,16,1.0,
C7,,no_fasta,,,,,,,
C8B,NG_007285.1,ok,+,1,26012,106,106,1.0,
C9,NG_009894.1,ok,+,1,24202,14,14,1.0,
CARD9,,no_fasta,,,,,,,
CASP10,NG_007265.1,ok,+,1,27207,3,3,1.0,
CASP8,NG_007497.1,ok,+,1,19791,4,4,1.0,
CD19,NG_007275.1,ok,+,529,7208,9,9,1.0,
CD247,NG_007384.1,ok,+,1,80235,2,2,1.0,
CD3D,NG_009891.1,ok,+,1,3143,12,12,1.0,
CD3E,NG_007383.1,ok,+,1,8907,2,2,1.0,
CD3G,NG_007566.1,ok,+,1,6483,2,2,1.0,
CD40,,no_fasta,,,,,,,
CD40L,NG_007280.1,ok,+,1,12212,199,205,0.9707,C0047;C0048;C0052;C0057;C0058;C0193
CD55,NG_007465.1,ok,+,1,6250,18,18,1.0,
CD59,NG_008057.1,ok,+,1,20063,2,2,1.0,
CD79A,NG_009619.1,ok,+,1,2924,4,4,1.0,
CD79B,NG_007368.1,ok,+,1,2550,2,2,1.0,
CD8A,NG_011608.2,ok,+,1,1044,8,8,1.0,
CEBPE,NG_009617.1,ok,+,1822,5046,4,5,0.8,C0003
CFD,,no_fasta,,,,,,,
CFH,,no_fasta,,,,,,,
CFI,NG_007569.1,ok,+,1,60486,21,21,1.0,
CFP,NG_009893.1,ok,+,1,5627,36,36,1.0,
CIITA,NG_009628.1,ok,+,62,35153,10,10,1.0,
CTSC,NG_007952.1,ok,+,1,44659,248,248,1.0,
CXCR4,NG_011587.1,ok,+,1,4196,33,33,1.0,
CYBA,NG_007291.1,ok,+,1,8585,158,160,0.9875,H0042
CYBB,NG_009065.1,ok,+,1,31843,1204,1208,0.9967,A0310;A0514;A0528;A0953
DCLRE1C,,no_fasta,,,,,,,
DKC1,NG_009780.1,ok,+,1,12949,12,12,1.0,
DNMT3B,,no_fasta,,,,,,,
ELA2,,no_fasta,,,,,,,
FASLG,,no_fasta,,,,,,,
FCGR1A,NG_007578.1,ok,+,1,2493,8,8,1.0,
FCGR3A,NG_009066.1,ok,+,1,2217,6,6,1.0,
FERMT3,NG_016360.1,ok,+,1,17361,47,47,1.0,
FOXN1,,no_fasta,,,,,,,
FOXP3,,no_fasta,,,,,,,
G6PC3,NG_015818.1,ok,+,1,6082,38,38,1.0,
GFI1,NG_007874.1,ok,+,1,11793,5,5,1.0,
HAX1,NG_007369.1,ok,+,1,3655,34,34,1.0,
IFNGR1,,no_fasta,,,,,,,
IFNGR2,NG_007570.2,ok,+,1,30889,16,16,1.0,
